,id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan,Unnamed: 0,Beds,Baths,Car,Lot,Valuation,SateType1,SaleType2,DateSold1,DateSold2,SoldPrice1,SoldPrice2,Picture,Blob,Street_Numb,Street_Name,Street_Suff
13,701317,105601,401/330 Church Street,Parramatta,2150,NSW,-33.811546,151.0049,unit,,2,2,1,True,13,0,0,0,0,"$1,328,333", , , , , , ,https://p360images.realestateview.com.au/default/401-330-church-street-parramatta-nsw-2150-xl,Its land area is 160 sqm. ,401/330,Church,Street
14,4073480,125368,25 North Rocks Road,North Rocks,2151,NSW,-33.790549,150.999181,unit,,2,2,2,False,14,2,2,1,0, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/yPeWPGH17798SV36-CGPcqLb1ec2U3AoHwqwjrmIREI1/25-north-rocks-road-north-rocks-nsw-2151_img0.jpg,This is a unit in North Rocks with 2 bedrooms and 2 bathrooms. Its postcode is 2151. ,25,North Rocks,Road
15,4089604,135901,3/51 Fennell Street,North Parramatta,2151,NSW,-33.806447999999996,151.008993,unit,,1,1,1,True,15,2,1,1,0,"$520,833", ,Private Sale            , ,Oct 2011            , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/9GBxVwc8eg3pcRBTMTzVr6vUX631Q7KiwsDVPeeYA6E1/3-51-fennell-street-north-parramatta-nsw-2151_img0.jpg,"3/51 Fennell Street, North Parramatta 2151 NSW is a unit. It has 2 bedrooms and 1 bathroom. In October 2011 it sold for $356,000. ",3/51,Fennell,Street
16,4060223,184174,5 Eta Street,Blacktown,2148,NSW,-33.778847,150.89609,house,550.0,1,1,2,True,16,2,1,2,552,"$573,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/U-NZiEel-ZwMBEXSkeZVv_PsZBlDo4sQIMmQdwR0gfQ1/5-eta-street-blacktown-nsw-2148_img0.jpg,"5 Eta Street, Blacktown 2148 NSW is a house. It has 3 bedrooms and 1 bathroom. The block size is 552 sqm. According to our records, this last sold for $300,000 in July 2009. ",5,Eta,Street
17,3155491,187457,29 Allambie Avenue,Northmead,2152,NSW,-33.785951000000004,150.989849,house,923.0,1,1,0,True,17,3,1,1,922,"$925,000", ,Auction            , ,May 2015            , ,"$1,250,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/CL-QdW8SFTQsUcWm-js_4HPZYxGs7uD_GZ8jmP-fBAY1/29-allambie-avenue-northmead-nsw-2152_img0.jpg,"This is a house in Northmead with 3 bedrooms and 1 bathroom. Its postcode is 2152. This is on a 922 square metre block of land. The last time this property sold was in May 2015 for $1,250,000. ",29,Allambie,Avenue
18,1296009,191638,9/240-242 Targo Road,Toongabbie,2146,NSW,-33.789715,150.9503,unit,,1,1,1,True,18,2,1,1,1973, , ,Private Sale            , ,Dec 2010            , ,"$290,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/PznUoGhYT89IrdJRUby1i_-vB3sd3aAkRGDOJo3YIjE1/9-240-242-targo-road-toongabbie-nsw-2146_img0.jpg,"This is a house in Toongabbie, 2146 with 2 bedrooms and 1 bathroom. In December 2010 this property sold for $290,000. ",9/240-242,Targo,Road
19,4088701,191944,7/80-82 Metella Road,Toongabbie,2146,NSW,-33.792107,150.93995,unit,179.0,2,2,1,False,19,2,2,1,0, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/fUMWOVdBFcI_LL2rxxs2ydHv1bLcfRDlLjh2nGQIuVY1/7-80-82-metella-road-toongabbie-nsw-2146_img0.jpg,"This is a house in Toongabbie with 2 bedrooms and 2 bathrooms. Its postcode is 2146. This is on a 179 sqm block of land. The last sold price we have on record for 7/80-82 Metella Road is $411,000 which is from September 2013. ",7/80-82,Metella,Road
20,3019554,198655,6 Eather Avenue,North Rocks,2151,NSW,-33.762173,151.013036,house,843.0,3,3,6,True,20,5,3,6,852, ,Private Sale            , ,Nov 2018            , ,"$1,546,000            ", ,https://p360images.realestateview.com.au/default/6-eather-avenue-north-rocks-nsw-2151-xl,6 Eather Avenue is a house in North Rocks with 5 bedrooms and 3 bathrooms. Its postcode is 2151. This property is on a 852 square metre block of land. ,6,Eather,Avenue
21,848353,214398,16/26 Mantaka Street,Blacktown,2148,NSW,-33.773676,150.917647,unit,,1,1,1,True,21,2,1,1,0, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/_NhrXLaidPRLvrPoewdSjx7iQwTiZ_fSgeZuL62i5Ws1/16-26-mantaka-street-blacktown-nsw-2148_img0.jpg,"This is a unit in Blacktown with 2 bedrooms and 1 bathroom. Its postcode is 2148. In June 2008 this address sold for $176,500. ",16/26,Mantaka,Street
22,2564548,224527,19 Botany Boulevard,Seven Hills,2147,NSW,-33.758825,150.944432,house,551.0,3,3,3,True,22,5,3,3,581,"$1,052,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/FZftEOuto07KJIpVs3taAmS-tKiwMguc5Ld9Np47Xwc1/19-botany-boulevard-seven-hills-nsw-2147_img0.jpg,"19 Botany Boulevard, Seven Hills 2147 NSW is a house. It has 5 bedrooms and 3 bathrooms. The block size is 581 sqm. ",19,Botany,Boulevard
23,2270925,237072,7/12 Murray Street,Northmead,2152,NSW,-33.787676,150.99568200000002,unit,,2,2,2,True,23,2,2,2,0, ,Private Sale            , ,Nov 2018            , ,"$580,000            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/lvM4ZPfa4u5jx_UJ_YZ04XWvQzSvh5XzxI564xtb1D41/7-12-murray-street-northmead-nsw-2152_img0.jpg,"7/12 Murray Street, Northmead 2152 NSW is a unit with 2 bedrooms and 2 bathrooms. The last sold price we have on record for this property is $586,999 which is from November 2015. ",7/12,Murray,Street
24,4145982,264655,5 Eltham Street,Blacktown,2148,NSW,-33.791103,150.91493,house,569.0,1,1,2,True,24,3,1,2,546, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/VzpzD9KMnd0oVmLoedMGiOhaYaMyRE6ckCzhQ2Hehzg1/5-eltham-street-blacktown-nsw-2148_img0.jpg,"This is a house in Blacktown, 2148 with 3 bedrooms and 1 bathroom. The block size is 546 square metres. According to our data, 5 Eltham Street was last sold for $440,000 in June 2011. ",5,Eltham,Street
25,2296193,279004,3 Charles Street,Blacktown,2148,NSW,-33.753188,150.91753799999998,house,550.0,1,1,1,True,25,3,1,1,555, ,Private Sale            ,Private Sale            ,Nov 2018            ,Jul 2012            ,"$630,000            ","$350,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/KjVIYVMcls5tgIDssjQL0SU1ODyaHK11DGzalkJ3x4I1/3-charles-street-blacktown-nsw-2148_img0.jpg,"3 Charles Street, Blacktown 2148 NSW is a house. This property has 3 bedrooms and 1 bathroom. Its block size is 555 square metres. In November 2018 it sold for $630,000. ",3,Charles,Street
26,214301,295676,18 Macdonald Avenue,Lalor Park,2147,NSW,-33.759562,150.936397,house,809.0,1,1,2,True,26,4,1,3,821, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Dxko7s95UogYGZgOKexbN6-HYIAVPkPM6-tgoJ0UYyg1/18-macdonald-avenue-lalor-park-nsw-2147_img0.jpg,"This is a house in Lalor Park, 2147 with 4 bedrooms and 1 bathroom. The block size is 821 sqm. According to our data, this was last sold for $310,000 in September 2015. ",18,Macdonald,Avenue
27,216220,296020,7/7 Oldfield Road,Seven Hills,2147,NSW,-33.778433,150.925621,unit,235.0,2,2,2,True,27,3,2,2,0, , ,Private Sale            , ,Jun 2006            , ,"$320,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/6908tRFfPELYtXCmn-0wvI9Z2k6Xq0GQT5XhmeVP1j01/7-7-oldfield-road-seven-hills-nsw-2147_img0.jpg,"7/7 Oldfield Road, Seven Hills 2147 NSW is a unit. This property has 3 bedrooms and 2 bathrooms. This unit last sold for $700,000 in June 2018. ",7/7,Oldfield,Road
28,193743,306907,2/6 William St,North Parramatta,2151,NSW,-33.797775,151.00626,unit,,1,1,1,True,28,2,1,1,0, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/efjbyci-KIonGkenZNsU55XeiAYBjfBnZzcrjkfFmCs1/2-6-william-street-north-parramatta-nsw-2151_img0.jpg,"2/6 William Street is a unit in North Parramatta with 2 bedrooms and 1 bathroom. Its postcode is 2151. It was last sold in October 1999 for $165,000. ",2/6,William,Street
29,68275,308961,34 Bellevue Street,Blacktown,2148,NSW,-33.779819,150.891554,house,581.0,1,1,1,True,29,3,1,1,599, ,Private Sale            ,Private Sale            ,Jul 2018            ,May 2009            ,"$627,500            ","$309,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/i2C0X6PJAIIR7LZ5dg7wx8O7IezE04i6DVOp97pfJIw1/34-bellevue-street-blacktown-nsw-2148_img0.jpg,"This is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. The size of this block is 599 sqm. The last sold price we have on record for 34 Bellevue Street is $627,500 which is from July 2018. ",34,Bellevue,Street
30,124434,310346,69 Breakfast Road,Marayong,2148,NSW,-33.75115,150.888151,house,600.0,1,1,4,True,30,3,1,2,0,"$607,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/bjPXLVccIdvalV6SadnnqxdcMtWL2HfdsjY_a_yFbLM1/69-breakfast-road-marayong-nsw-2148_img0.jpg,The land area is 610 square metres. ,69,Breakfast,Road
31,223853,312287,1602/29 Hunter Street,Parramatta,2150,NSW,-33.815477,150.99996000000002,unit,,2,2,1,True,31,0,0,0,0,"$1,328,333", , , , , , ,https://p360images.realestateview.com.au/default/1602-29-hunter-street-parramatta-nsw-2150-xl,"This is a unit in Parramatta, 2150 with 2 bedrooms and 2 bathrooms. ",1602/29,Hunter,Street
32,4118717,315387,17 Dan Avenue,Blacktown,2148,NSW,-33.76117,150.8966,house,,1,1,2,True,32,2,1,2,596, ,Private Sale            , ,Jan 2019            , ,Price, ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/mN5ec3GdJgfCpsphISZqEzWspKNEeCo0OotWPNxI2uE1/17-dan-avenue-blacktown-nsw-2148_img0.jpg,"17 Dan Avenue, Blacktown 2148 NSW is a house with 2 bedrooms and 1 bathroom. The land area of this property is 596 sqm. ",17,Dan,Avenue
33,2771494,332512,30 Melba Road,Lalor Park,2147,NSW,-33.75613,150.92685500000002,house,588.0,1,1,1,False,33,3,1,1,597, , ,Private Sale            , ,Oct 2018            , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/LerUJYvqa-7BETOq0Kue_GKrm4PyEL7aOpdUoQpSvNQ1/30-melba-road-lalor-park-nsw-2147_img0.jpg,"30 Melba Road, Lalor Park 2147 NSW is a house with 3 bedrooms and 1 bathroom. The block size is 597 square metres. Last time it sold was for $421,000, which was in November 2013. ",30,Melba,Road
34,223942,357051,178/109-113 George Street,Parramatta,2150,NSW,-33.81563,151.01021,unit,82.0,1,1,1,True,34,0,0,0,0,"$1,098,000", , , , , , ,https://p360images.realestateview.com.au/default/178-109-113-george-street-parramatta-nsw-2150-xl,"This is a unit in Parramatta, 2150 with 1 bedroom and 1 bathroom. ",178/109-113,George,Street
35,4121046,368061,4/14 Harris St,Harris Park,2150,NSW,-33.826305,151.00983,unit,,2,2,1,True,35,0,0,0,0, , , , , , , ,https://p360images.realestateview.com.au/default/4-14-harris-street-harris-park-nsw-2150-xl,The land area of this property is 168 square metres. ,4/14,Harris,Street
36,2957821,368358,11/36 Allawah Street,Blacktown,2148,NSW,-33.771038,150.90076399999998,unit,,2,2,2,False,36,0,0,0,0, ,Private Sale            , ,Mar 2010            , ,"$375,000            ", ,https://p360images.realestateview.com.au/default/11-36-allawah-street-blacktown-nsw-2148-xl,"In March 2010 this property sold for $375,000. ",11/36,Allawah,Street
37,1618273,374940,25 Panorama Parade,Blacktown,2148,NSW,-33.777304,150.914812,house,569.0,1,1,1,True,37,3,1,1,582, , ,Auction            , ,Sep 2018            , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/uKsbWVbw0dJ5y-wWmClQoBeaecoY0hmVQniyyha4bNw1/25-panorama-parade-blacktown-nsw-2148_img0.jpg,"25 Panorama Parade, Blacktown 2148 NSW is a house with 3 bedrooms and 1 bathroom. The block size of this property is 582 square metres. In September 2018 this address sold for $735,000. ",25,Panorama,Parade
38,37143,387213,11A Regal Avenue,Kings Langley,2147,NSW,-33.749492,150.927701,house,,2,2,1,True,38,4,2,1,702,"$944,167", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/jGULz1Vz92I87X1076TBqUxqgx7P3qDfkfXwQ_iGTvc1/11a-regal-avenue-kings-langley-nsw-2147_img0.jpg,"11A Regal Avenue, Kings Langley 2147 NSW is a house with a tile roof. This property has 4 bedrooms and 2 bathrooms. Last time it sold, it went for $785,000, which was in 2018. ",11A,Regal,Avenue
39,3751868,408344,4 Belrose Place,Prospect,2148,NSW,-33.79718,150.9248,house,670.0,3,3,2,True,39,4,3,2,668, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/bEHzIR1GEOpKukJ77fwAb2lpqRcFtVnY95mUQrdu7HQ1/4-belrose-place-prospect-nsw-2148_img0.jpg,"4 Belrose Place, Prospect 2148 NSW is a house with 4 bedrooms and 3 bathrooms. The block size of this property is 668 sqm. In March 1989 this sold for $200,000. ",4,Belrose,Place
40,3577671,410244,14/16A WIGRAM STREET,Harris Park,2150,NSW,-33.825641999999995,151.007564,unit,,1,1,1,False,40,0,0,0,0, ,Private Sale            ,Private Sale            ,Mar 2001            ,Jan 1992            ,"$127,000            ","$98,000            ",https://p360images.realestateview.com.au/default/14-16a-wigram-street-harris-park-nsw-2150-xl,"In March 2001 this address sold for $127,000. ",14/16A,WIGRAM,Street
41,3187503,413036,6/16A Wigram Street,Harris Park,2150,NSW,-33.825641999999995,151.007564,unit,,1,1,1,False,41,2,1,1,0, , ,Private Sale            , ,Nov 2018            , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/JYYEKpbJ6KoF7Ji-FnS5TZKjOsfXs0mjWHmTVSLJImA1/6-16a-wigram-street-harris-park-nsw-2150_img0.jpg,"6/16A Wigram Street, Harris Park 2150 NSW is a unit. It has 2 bedrooms and 1 bathroom. It was last sold in 2018 for $350,000. ",6/16A,Wigram,Street
42,1745505,433140,11 Bedford Road,Blacktown,2148,NSW,-33.758614,150.917947,house,676.0,1,1,1,True,42,3,1,1,679, ,Private Sale            , ,Sep 2018            , ,"$630,000            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/8F2tkJUduhkhVmRrJDXEFVW8AtL2hzuvFPlXEuTD1H01/11-bedford-road-blacktown-nsw-2148_img0.jpg,"11 Bedford Road is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. The land area of this property is 679 square metres. In April 2014 this property sold for $475,000. ",11,Bedford,Road
43,1389691,439537,68 Whitby Road,Kings Langley,2147,NSW,-33.748868,150.938639,house,714.0,2,2,6,True,43,4,2,6,724,"$856,667",Private Sale            , ,Dec 2011            , ,"$555,000            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/1F6YVw_Gma-U7AeJsMNFi7HYo0vb0pnuw0dzM7ZBVPw1/68-whitby-road-kings-langley-nsw-2147_img0.jpg,"68 Whitby Road, Kings Langley 2147 NSW is a house. This property has 4 bedrooms and 2 bathrooms. Its block size is 724 sqm. It was last sold in 2011 for $555,000. ",68,Whitby,Road
44,1551564,442513,17 Marcia Street,Toongabbie,2146,NSW,-33.785068,150.947179,house,1011.0,1,1,1,True,44,3,1,1,1011,"$733,667", , , , , , ,https://p360images.realestateview.com.au/default/17-marcia-street-toongabbie-nsw-2146-xl,"This is a house in Toongabbie, 2146 with 3 bedrooms and 1 bathroom. This property is on a 1011 sqm block of land. ",17,Marcia,Street
45,486464,446506,2 Lennox Street,Old Toongabbie,2146,NSW,-33.796667,150.96430800000002,house,733.0,2,2,1,True,45,4,2,1,0,"$815,333", ,Private Sale            , ,Jul 2018            , ,"$1,000,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/J8mOYZTWd9Q9RH93ZHkV3A7_hq_ct51cHcjHvjtpKWo1/2-lennox-street-old-toongabbie-nsw-2146_img0.jpg,"2 Lennox Street, Old Toongabbie 2146 NSW is a house with 4 bedrooms and 2 bathrooms. It has weatherboard walls. Its block size is 733 sqm. In May 2016 this address sold for $970,000. ",2,Lennox,Street
46,3108081,458828,28/24 Campbell Street,Parramatta,2150,NSW,-33.817802,150.99936,unit,,2,2,1,True,46,2,2,1,0,"$638,667",Private Sale            , ,Apr 2010            , ,"$400,000            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/pwBburZ5J7XYw2Am-JLVhljyeqSJZNHrHSOEl20EfXA1/28-24-campbell-street-parramatta-nsw-2150_img0.jpg,"28/24 Campbell Street is a unit in Parramatta with 2 bedrooms and 2 bathrooms. Its postcode is 2150. Last time it sold was for $400,000, which was in April 2010. ",28/24,Campbell,Street
47,2136696,461807,4 Premier Street,Toongabbie,2146,NSW,-33.783283000000004,150.95013,house,730.0,1,1,1,True,47,4,1,1,733, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/VqVWjH1Wks-bObJcHytli_LU8JyrKuNvR_15UubQMOk1/4-premier-street-toongabbie-nsw-2146_img0.jpg,This is a house in Toongabbie with 4 bedrooms and 1 bathroom. Its postcode is 2146. It is on a block of land that is 733 sqm. ,4,Premier,Street
48,591707,466822,2 Vincent Street,Blacktown,2148,NSW,-33.778378000000004,150.895488,house,,2,2,1,True,48,0,0,0,0, , , , , , , ,https://p360images.realestateview.com.au/default/2-vincent-street-blacktown-nsw-2148-xl,"2 Vincent Street, Blacktown 2148 NSW has 3 bedrooms and 2 bathrooms. It is a house with brick veneer walls. The land area of this property is 619 square metres. ",2,Vincent,Street
49,4061633,496889,23 Lawson Street,Lalor Park,2147,NSW,-33.761427000000005,150.923407,house,569.0,1,1,1,True,49,3,1,1,576, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Y9yJ-JQvSqeO0X_DdLb4lSC0ZUJwUghlBvz68IezzBU1/23-lawson-street-lalor-park-nsw-2147_img0.jpg,"23 Lawson Street, Lalor Park 2147 NSW is a house with 3 bedrooms and 1 bathroom. It is on a block of land that is 576 square metres. The last time this property sold was in January 2012 for $390,000. ",23,Lawson,Street
50,2025186,510193,87 Lucas Road,Lalor Park,2147,NSW,-33.767759000000005,150.932179,land,752.0,0,0,0,True,50,0,0,0,757,"$634,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/pyDGW985vU922AaB3tnZcPqxLBwUHvVL9HuYqvKf-Wo1/87-lucas-road-lalor-park-nsw-2147_img0.jpg,The block size is 757 sqm. ,87,Lucas,Road
51,2483693,513047,19/34 Alice Street,Harris Park,2150,NSW,-33.820405,151.014282,unit,,1,1,1,True,51,1,1,1,0, , , , , , , ,https://p360images.realestateview.com.au/default/19-34-alice-street-harris-park-nsw-2150-xl,"This is a unit in Harris Park, 2150 with 1 bedroom and 1 bathroom. This unit was last sold for $455,000 in September 2017. ",19/34,Alice,Street
52,223758,523348,36/68 Macarthur Street,Parramatta,2150,NSW,-33.809676,151.015104,unit,,1,1,2,True,52,2,1,2,0, ,Private Sale            , ,Jul 2018            , ,"$540,000            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/7B0uJ_T7mq6ZtfBSOBbHLCYtcwHc2ChKqwwIJekS2Rg1/36-68-macarthur-street-parramatta-nsw-2150_img0.jpg,"This is a unit in Parramatta, 2150 with 2 bedrooms and 1 bathroom. Our records show that this was last sold in 2018 for $540,000. ",36/68,Macarthur,Street
53,464282,528541,5 Hillside Road,Blacktown,2148,NSW,-33.778624,150.894018,house,556.0,1,1,1,True,53,3,1,1,562,"$591,000",Private Sale            , ,Feb 1994            , ,"$124,950            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/ttosTywESmRJvp_b32g3QQzzwnR6PaEquIGaI_Jkc5Q1/5-hillside-road-blacktown-nsw-2148_img0.jpg,"This is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. This is on a 562 square metre block of land. Last time it sold was for $124,950, which was in February 1994. ",5,Hillside,Road
54,4174250,529731,91 Toongabbie Road,Toongabbie,2146,NSW,-33.791977,150.94326999999998,house,929.0,1,1,1,False,54,3,1,1,929, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/uXrvBpTYg9n92UBwCNQsRjyknA2-A8dnGQRq1mePJHQ1/91-toongabbie-road-toongabbie-nsw-2146_img0.jpg,91 Toongabbie Road is a house in Toongabbie with 3 bedrooms and 1 bathroom. Its postcode is 2146. The land area of this property is 934 sqm and the ground is level. ,91,Toongabbie,Road
