,id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan,Unnamed: 0,Beds,Baths,Car,Lot,Valuation,SateType1,SaleType2,DateSold1,DateSold2,SoldPrice1,SoldPrice2,Picture,Blob,Street_Numb,Street_Name,Street_Suff
19,1351402,1200,6/27-31 Manchester St,Merrylands,2160,NSW,-33.831153,150.989963,unit,,1,1,1,False,19,2,1,1,0, ,Private Sale            , ,Aug 2018            , ,$440 pw            , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/IlwoIhV75Ww8ZFtlNs2IgyxUMQyq-EIM115TYZ2NBKU1/6-27-31-manchester-street-merrylands-nsw-2160_img0.jpg,"6/27-31 Manchester Street is a unit in Merrylands with 2 bedrooms and 1 bathroom. Its postcode is 2160. It last sold in 2018 for $471,000. ",6/27-31,Manchester,Street
20,2565900,1201,17 Mitchell Drive,West Hoxton,2171,NSW,-33.940025,150.83495,house,552.0,2,2,2,True,20,0,0,0,552, ,Private Sale            ,Private Sale            ,Jul 2002            ,Feb 1996            ,"$475,000            ","$89,000            ",https://p360images.realestateview.com.au/default/17-mitchell-drive-west-hoxton-nsw-2171-xl,"The size of this block is 552 square metres. It was last sold in 2002 for $475,000. ",17,Mitchell,Drive
21,1476412,1371,28 Coota Street,Cowra,2794,NSW,-33.828334999999996,148.68623,house,,1,1,2,True,21,3,1,2,677, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/4U9VsNtdxFvPf31Pj5UBWc5B3R7V6DqLTPfPCZmuYj01/28-coota-street-cowra-nsw-2794_img0.jpg,"This is a house in Cowra with 3 bedrooms and 1 bathroom. Its postcode is 2794. Its block size is 677 sqm. It was last sold in November 2010 for $150,000. ",28,Coota,Street
22,3967469,1378,79A King Road,Wilberforce,2756,NSW,-33.557784999999996,150.84548999999998,house,1739.0,2,2,2,True,22,4,2,2,1739, ,Private Sale            ,Private Sale            ,Dec 2002            ,May 1999            ,"$478,500            ","$315,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/lCoGvZLYa0AKFi1ZsNP0X167a6FaXH3n-r2nYbO6_mI1/79a-king-road-wilberforce-nsw-2756_img0.jpg,"This is a house in Wilberforce with 4 bedrooms and 2 bathrooms. Its postcode is 2756. This property is on a 1739 square metre block of land. In December 2002 it sold for $478,500. ",79A,King,Road
23,2038396,1381,2/78 Maitland Street,Muswellbrook,2333,NSW,-32.27742,150.89763,house,406.0,2,2,2,False,23,3,2,2,809, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Y-szqE_bw0pCwKNE70YWZ5kUS6rhLHJ1piwh2pV3Xh01/2-78-maitland-street-muswellbrook-nsw-2333_img0.jpg,"2/78 Maitland Street, Muswellbrook 2333 NSW is a house. This property has 3 bedrooms and 2 bathrooms. It is on a block of land that is 809 sqm. ",2/78,Maitland,Street
24,1871111,1388,4/44 St Vincent Street,Ulladulla,2539,NSW,-35.352509999999995,150.473143,unit,,1,1,1,True,24,2,1,1,0, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/oRikBmiQ7xrGeNOTFsr18XtaLINydVGg906ndfLmmVQ1/4-44-st-vincent-street-ulladulla-nsw-2539_img0.jpg,"This is a unit in Ulladulla, 2539 with 2 bedrooms and 1 bathroom. ",4/44,St Vincent,Street
25,2666534,1684,1 Bailes Crescent,Young,2594,NSW,-34.329384000000005,148.28761,other,20200.0,1,1,1,False,25,2,1,1,20200, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/dYP_5qS4BucsnVHFtqkWKwHoRnEA5OWf9pOH5r1t4lM1/1-bailes-crescent-young-nsw-2594_img0.jpg,"1 Bailes Crescent, Young 2594 NSW is a house with 2 bedrooms and 1 bathroom. This is on a 22517 square metre block of land. ",1,Bailes,Crescent
26,129937,2419,2 Graham Street,Long Jetty,2261,NSW,-33.367336,151.47517,house,,1,1,1,True,26,3,1,1,501,"$534,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/-WqL0AQ1FaRxxDgeUV_Em7uoaL0S58i6ucrZtybxpY81/2-graham-street-long-jetty-nsw-2261_img0.jpg,"2 Graham Street, Long Jetty 2261 NSW has 3 bedrooms and 1 bathroom. It is a house with brick veneer walls. The size of this block is 501 square metres. According to our data, this was last sold for $290,000 in October 2005. ",2,Graham,Street
27,3800621,2466,12 Three Points Avenue,Macmasters Beach,2251,NSW,-33.493762,151.424247,house,696.0,1,1,1,True,27,3,1,1,702, ,Private Sale            , ,Dec 2018            , ,"$1,170,000            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/l96Eft_6o3Jdw04CbaWOxUE4fAAjkK7sXe04f6IyupI1/12-three-points-avenue-macmasters-beach-nsw-2251_img0.jpg,"This is a house in Macmasters Beach with 3 bedrooms and 1 bathroom. Its postcode is 2251. The block size is 702 sqm. 12 Three Points Avenue Macmasters Beach last sold for $200,000 in 1997. ",12,Three Points,Avenue
28,2171582,2513,75 Rovere Lane,Bywong,2621,NSW,-35.180845,149.328604,house,80000.0,3,3,3,True,28,0,0,0,0, ,Private Sale            ,Private Sale            ,Dec 2004            ,Sep 2002            ,"$322,000            ","$205,000            ",https://p360images.realestateview.com.au/default/75-rovere-lane-bywong-nsw-2621-xl,"This is a house in Bywong, 2621 with 5 bedrooms and 3 bathrooms. Its block size is 80033 sqm. The last sold price we have on record for 75 Rovere Lane is $322,000 which is from December 2004. ",75,Rovere,Lane
29,37846,2537,46 Timbara Crescent,Blue Haven,2262,NSW,-33.211642,151.50823400000002,house,617.0,2,2,2,True,29,4,2,2,617,"$540,667",Private Sale            ,Private Sale            ,Jul 2018            ,Dec 2014            ,"$535,000            ","$385,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/TwDwkWOWQjbdS03qQphR7YA9m3ZVSvSsN74zozicWHY1/46-timbara-crescent-blue-haven-nsw-2262_img0.jpg,"46 Timbara Crescent, Blue Haven 2262 NSW has 4 bedrooms and 2 bathrooms. It is a house with brick veneer walls. The block size of this property is 617 square metres. Last time it sold was for $535,000, which was in July 2018. ",46,Timbara,Crescent
30,4162289,3150,45 Callan Avenue,Maryland,2287,NSW,-32.870865,151.66127,house,905.0,2,2,2,True,30,4,2,2,905, ,Private Sale            ,Private Sale            ,Sep 2010            ,Aug 2008            ,"$481,000            ","$420,000            ",https://p360images.realestateview.com.au/default/45-callan-avenue-maryland-nsw-2287-xl,"This is a house in Maryland with 4 bedrooms and 2 bathrooms. Its postcode is 2287. This is on a 905 square metre block of land. The last time this property sold was in September 2010 for $481,000. ",45,Callan,Avenue
31,1487701,3212,2416/91 Liverpool Street,Sydney,2000,NSW,-33.877274,151.2067,unit,128.0,2,2,1,True,31,2,2,1,0, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/DT8zB9YbXczz5o3fBo0OxAXpHXOJ5QrbFf_Se4WVTdc1/2416-91-liverpool-street-sydney-nsw-2000_img0.jpg,"2416/91 Liverpool Street, Sydney 2000 NSW is a unit with 2 bedrooms and 2 bathrooms. ",2416/91,Liverpool,Street
32,909337,3385,3 Jungarra Crescent,Bonny Hills,2445,NSW,-31.594843,152.839957,house,670.0,2,2,0,True,32,4,2,0,670, , ,Private Sale            , ,Jun 2014            , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/JtIJhPiRVOjuvsgR9K4UEJ4yOS2VTpAEl4Re_9iFWH81/3-jungarra-crescent-bonny-hills-nsw-2445_img0.jpg,"3 Jungarra Crescent is a house in Bonny Hills with 4 bedrooms and 2 bathrooms. Its postcode is 2445. Its land area is 670 square metres. According to our data, this last sold for $340,000 in June 2014. ",3,Jungarra,Crescent
33,2901183,3552,12 Trentham Avenue,Douglas Park,2569,NSW,-34.197598,150.72043,house,809.0,2,2,2,False,33,4,2,2,821, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/-7HJC_BRPKNuqQCjMG6zp8_PvtbbsrnYpjY-Q_vC2xs1/12-trentham-avenue-douglas-park-nsw-2569_img0.jpg,"12 Trentham Avenue, Douglas Park 2569 NSW is a house. It has 4 bedrooms and 2 bathrooms. The block size is 821 square metres. ",12,Trentham,Avenue
34,2925457,3610,44 St Clair Street,Bonnells Bay,2264,NSW,-33.109259,151.51545,house,607.0,1,1,1,False,34,0,0,0,608,"$422,833",Private Sale            ,Private Sale            ,Jul 2001            ,May 1995            ,"$108,000            ","$84,500            ",https://p360images.realestateview.com.au/default/44-st-clair-street-bonnells-bay-nsw-2264-xl,"Its land area is 608 sqm. When it last sold in 2001, it went for $108,000. ",44,St Clair,Street
35,1015449,4168,12 McCrae Drive,Camden South,2570,NSW,-34.077363,150.69124399999998,house,,1,1,2,False,35,3,1,3,0,"$596,667", ,Private Sale            , ,Apr 2013            , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/2gW2oUYIEkDf9k8OFYmyS3vqa7cczWqcm9vI1p1vo9o1/12-mccrae-drive-camden-south-nsw-2570_img0.jpg,"This is a house in Camden South, 2570 with 3 bedrooms and 1 bathroom. The size of this block is 578 square metres. According to our data, this was last sold for $400,000 in April 2013. ",12,McCrae,Drive
36,4134835,4279,16 Ilex Street,Lake Albert,2650,NSW,-35.161083000000005,147.38312,house,,2,2,2,False,36,4,2,2,1036,"$468,333",Private Sale            ,Private Sale            ,Jun 2013            ,Feb 2008            ,"$370,000            ","$339,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/IYLExr2cFOOoDNLOQwXgoZYklpjznaL6Ef1extHaZOQ1/16-ilex-street-lake-albert-nsw-2650_img0.jpg,"16 Ilex Street, Lake Albert 2650 NSW is a house. It has 4 bedrooms and 2 bathrooms. The land area of this property is 1036 sqm. Last time it sold was for $370,000, which was in June 2013. ",16,Ilex,Street
37,150581,4840,6/10 Monarch Place,Callala Bay,2540,NSW,-34.994987,150.72746,unit,,2,2,1,True,37,2,2,1,0, , , , , , , ,https://p360images.realestateview.com.au/default/6-10-monarch-place-callala-bay-nsw-2540-xl,"This is a unit in Callala Bay, 2540 with 2 bedrooms and 2 bathrooms. It was last sold in 2007 for $350,000. ",6/10,Monarch,Place
38,2685555,4853,161 Marina Lane,Culburra Beach,2540,NSW,-34.928094,150.768149,house,1260.0,3,3,3,False,38,4,3,2,1260, ,Private Sale            ,Private Sale            ,Oct 2018            ,Nov 2010            ,"$2,000,000            ","$450,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/1Xc3qJqlqFlBFdUu9tW-nIOlOj-tyUpsYjTVxNQ7z741/161-marina-lane-culburra-beach-nsw-2540_img0.jpg,"This is a house in Culburra Beach, 2540 with 4 bedrooms and 3 bathrooms. This is on a 1260 sqm block of land. The last sold price we have on record for 161 Marina Lane is $450,000 which is from November 2010. ",161,Marina,Lane
39,525288,4860,2/48 Kenrose Street,Forster,2428,NSW,-32.21071,152.521416,unit,,2,2,2,False,39,3,2,1,0,"$495,833", , , , , , ,https://p360images.realestateview.com.au/default/2-48-kenrose-street-forster-nsw-2428-xl,This is a unit in Forster with 3 bedrooms and 2 bathrooms. Its postcode is 2428. ,2/48,Kenrose,Street
40,1004882,4890,16 Roberts Place,McGraths Hill,2756,NSW,-33.614329,150.83971100000002,house,609.0,2,2,1,True,40,4,2,1,569, ,Private Sale            , ,Aug 2018            , ,"$740,000            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Pqe6iSKAzMR6x0TyRrNEeSOBZ-4lYTc9dCUsoZQRQsM1/16-roberts-place-mcgraths-hill-nsw-2756_img0.jpg,"16 Roberts Place, Mcgraths Hill 2756 NSW is a house. It has 4 bedrooms and 2 bathrooms. The land area of this property is 569 square metres. The last sold price we have on record for this property is $715,000 which is from April 2017. ",16,Roberts,Place
41,3913277,4921,19 Huene Avenue,Halekulani,2262,NSW,-33.221573,151.55348,house,720.0,3,3,2,True,41,3,3,2,720, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/O84RVhoEpqrLEwFMqe6YgSe_K61yEDD9JG-bW789AcE1/19-huene-avenue-halekulani-nsw-2262_img0.jpg,"19 Huene Avenue, Halekulani 2262 NSW is a house with 3 bedrooms and 3 bathrooms. It is on a block of land that is 713 sqm. According to our data, this was last sold for $467,000 in March 2016. ",19,Huene,Avenue
42,675987,4943,5 Clarence Street,Casino,2470,NSW,-28.850240000000003,153.040005,house,887.0,2,2,1,False,42,4,2,1,888, ,Private Sale            , ,Dec 2018            , ,$260 pw            , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/BVxxYw1KoFBoXYVQAZ2GPYKWCC7wZmgJq1k8pXcvFYs1/5-clarence-street-casino-nsw-2470_img0.jpg,"5 Clarence Street, Casino 2470 NSW is a house. This property has 4 bedrooms and 2 bathrooms. Its block size is 888 sqm. It last sold for $325,000 in December 2018. ",5,Clarence,Street
