,title,description,advertiser,date,salary,worktype,classificaiton,sub_classificaiton,city,suburb,link,category
126,Data Analyst - Geelong,"

$138,000 plus super
Geelong Location
Manufacturing
Data Dashboard
 6 months Contract

Our client is a high profile manufacturing organisation located in Geelong
Growth within their business has created the need for a  for a Data Analyst to join them in a challenging project for approximately 6 months 
Responsibilities are varied and include labour cost reporting, data dashboard analysis, and quantitative surveys.
Its an exciting role encouraging your passion for innovative analysis, and driving strategy.
This role will work closely with Human Resources and Business Improvement and Management teams responsible for development of strategy within the organisation, where you can demonstrate company effectiveness and provide actionable intelligence
          to the business. 
Key Responsibilities:


This role exists to drive delivery of end to end business reporting, dashboard building and analytics  and is ideally suited to a  business analyst with experience in data visualisation
You will partner with key business leaders and technology stakeholders.  The main focus will be to deliver dashboards for one of the key strategic initiatives in the turnaround. You will work across multiple streams of work within human
              resources and cost centres.  Establishing a new Operating Model & ways of working, redefine key Master Data Elements & Business Rules, implementing new Integrated Business Planning tools and Optimising Inventory and labour costs.
Under direction of senior management, you will:


Lead the definition, building and implementation of key business dashboards


Work closely with the Group IT stakeholders to source data from multiple sources


Conduct any required data analysis to validate data accuracy & processing required


Model data as required for use in defined dashboards/reports


Build, test & implement required dashboards & reports within agreed timeframes


Role Requirements:


To be successful in this role we are looking for candidates who can demonstrate the following:


Previous experience managing large volumes of data, cross functionally


Strong modelling & presentation skills using Tableau


Previous experience using Big Data tools, SQL & Google Cloud Platform


An understanding of the project management life cycle, showing initiative, flexibility and innovative thinking


Please call Lorraine Tribe on 0418361121 for more information or send a CV by hitting the apply now button below
", this company,12 Mar 2019,"$110,000 - $139,999",Full Time,Information & Communication Technology,Information & Communication Technology,South West Coast VIC,South West Coast VIC,https://www.seek.com.au/job/38557524?type=standard&searchrequesttoken=fde45437-d49c-49b0-995f-7b2f47b52e95,Data-Analyst
127,Contract :: Junior / Mid Data Analyst (SQL/Tableau) :: Sydney :: Market Rates,"Contract Junior / Mid SQL Data Analyst :: Sydney :: Initial 2 months but extensions likely.  Leading niche marketing analytics consultancy is looking to hire a Junior / Mid-Level SQL Data Analyst for an initial 2-month contract
        that is likely to be extended by another 4 months. This opportunity would suit candidates with 1-5 years commercial experience who are immediately available to start project work in the Sydney CBD region. Working both internally and on client
        site all candidates must be confident communicators and being able to work confidently alongside more senior stakeholders. Candidates on working holiday VISA’s accepted The main roles and responsibilities for this contract Junior / Mid-Level SQL Data Analyst position are highlighted below 

Working with an end client gather data using SQL from Marketing Campaign Lists and run reports
Greenfield Tableau Dashboard development. Currently all reporting is undertaken via Excel. The project is transfer the visualisation into clear, presentable Tableau Dashboards.
 The main skills and experience needed for this opportunity is highlighted below 

At least 1 year’s commercial experience with SQL and Tableau in a commercial environment
MS SQL experience
Tableau dashboard development experience
MS Excel
Experience within a marketing / media background will be highly advantageous but not essential
Experience with Power-BI Is a highly advantageous and would allow the successful candidate to work on another simultaneous project
 Please send your resume in the first instance  ", this company,7 Mar 2019,Market Rates,Contract/Temp,Information & Communication Technology,Information & Communication Technology,Sydney,Sydney,https://www.seek.com.au/job/38518522?type=standout&searchrequesttoken=fde45437-d49c-49b0-995f-7b2f47b52e95,Data-Analyst
128,Data Analyst - NSW Government,"Our client is looking to appoint a Data Analyst with experience in data migration modelling and a minimum of 3-5 years experience with data in licencing and registration system data models/You will support the business by working on the
          development and implementation of licensing and registration systems and the migration of existing systems to new systems.  Key Skills

Data modelling
Minimum 3-5 years experience with data in licencing and registration system data models
Data cleansing and/or enrichment
Data mapping
Experience with payment data models and/or system (not essential)
Understanding of Siebel databases 
Database set up and installation 
Mapping and loading of extracts into database (if required) 
Writing SQL queries to retrieve, join and construct data 
Providing data analysis and recommendations 
User acceptance testing 
 For more information please Apply Now or contact Danielle on 8296 9826 or danielle@ashdownpeople.com.au ", this company,7 Mar 2019,,Contract/Temp,Information & Communication Technology,Information & Communication Technology,Sydney,Sydney,https://www.seek.com.au/job/38523308?type=standard&searchrequesttoken=fde45437-d49c-49b0-995f-7b2f47b52e95,Data-Analyst
129,Data Analyst,"Verse Group is working with a digital solution team based in Perth with a long history of supporting clients with their SaaS offering. They are looking for a passionate BI Developer and Data Analyst to join their dynamic team on a contract basis
          of 3 -6 months upgrading their BI platforms to Power BI.   Responsibilities: Streamlining and maintaining data collection procedures and implementing tools to improve the efficacy of collecting and connecting
          data.   Combining a variety of different data sources into reports and data sets to support accurate and timely decision making.   Developing SQL/PowerBI reporting tools and dashboards to:
          
Monitor and analyse sales;
Prepare forecasts and inventories;
Manage production and supply chain details;
Monitor customer digital journey;
Various other ad hoc reporting.
 Proactively monitoring incoming data and picking up on errors swiftly and accurately Share knowledge with other members of the team and ensure data is being inputted correctly Troubleshoot and resolve any issues or errors with the collection
          or processing of data   Skills & Experience: The successful candidate should:
          
Be highly organized, analytical, and pay attention to detail.
Display a high degree of autonomy, and the ability to formulate, propose and implement long-term solutions.
A high degree of competency in DAX, PowerBI, SQL and ability to pick up new technologies as needed.
In-depth knowledge of and experience with data warehouse principles.
Have outstanding verbal and written communication skills.
Display interest, energy and flexibility to work in the fast-paced environment of a growing business and wear multiple hats.

", this company,6 Mar 2019,,Contract/Temp,Information & Communication Technology,Information & Communication Technology,Perth,Perth,https://www.seek.com.au/job/38514868?type=standout&searchrequesttoken=fde45437-d49c-49b0-995f-7b2f47b52e95,Data-Analyst
130,Data Analyst - Data Modeller,"
My client is a well known NSW Gov't agency, and they are seeking someone special to not only analyse, but to find and fix issues within their data.
They have data quality issues.
So, can you identify data quality problems
Can you provide solutions and enhancements to rectify the quality issues
Can you provide supportable documentation and provide long term solutions to maintain the desired high standards
Can you establish data quality standards
Do you have extensive data quality analytics experience in a large complex corporate IT environment
Do you understand Government processes and procedures
If so, I'd really like to hear from you ASAP as applications for this opportunity close Monday 11th at 3pm
 
To apply online, please click on the appropriate link below. Please apply with a Word copy of your CV. 
 
", this company,8 Mar 2019,,Contract/Temp,Information & Communication Technology,Information & Communication Technology,Sydney,Sydney,https://www.seek.com.au/job/38528528?type=standard&searchrequesttoken=fde45437-d49c-49b0-995f-7b2f47b52e95,Data-Analyst
131,Data Analyst,"

Assist in the storage, preparation and maintenance of data sets.
Produce timely analysis and visualisation support for the Financial Markets Group.

We are looking for a Data Analyst with undergraduate qualifications in data science, maths, statistics, econometrics, computer science or other similar field to join the Data Analysis Team within our Financial Markets Group.  
Financial Markets Group is responsible for implementing the Reserve Bank’s operations in domestic and foreign exchange markets, monitoring developments in financial markets and coordinating the Reserve Bank’s relationships with international institutions.
This role is suitable for those with experience in data collection and management, programming and business intelligence tools, working with databases, an understanding of data science and an interest in streamlining and automating processes.
In this role you will:

Provide timely data and visualisation support, with respect to preparing and storing data and transforming/manipulating to prepare graphs.
Assist in the analysis, design and develop solutions for automation and/or streamlining of core business process.
Transform data using analytical tools and coding such as Excel, R, SQL etc; analyse queries and reports; and investigate and resolve issues related to the Group's data assets.
Work with business stakeholders to identify core requirements and identify areas of risk to business continuity.
Participate in related projects for data collections, reporting and system enhancements including, but not limited to, requirements gathering, data mapping and testing. 

The successful applicant will:

Have a relevant tertiary qualification in data science, maths, statistics, econometrics, computer science (or working towards)
Be comfortable using and manipulating data, and be able to use a range of tools including spreadsheet, presentation and graphics software
Be familiar with coding and scripting tools such as Mathematica, R and SQL
Have critical thinking and problem solving skills, and be able to think creatively about potential solutions.
Be able to communicate effectively and professionally both in writing and orally with a detail oriented focus.
 The ability to collaborate effectively within a team who can work independently and well with others.

By joining the RBA, you’ll have the opportunity to:

Work for an organisation that truly makes a  difference to the Australian people
Develop your career in a collaborative environment
Access to a wide-range of benefits

About the RBA
The Reserve Bank of Australia pursues national economic policy objectives and undertakes a range of associated activities in financial markets and banking. It also issues Australia's banknotes and operates infrastructure critical to the payments
          system.
 
 
How to Apply
Your application should include a resume detailing your experience and qualifications.  A supporting statement addressing the selection criteria would also be welcomed.
The Reserve Bank of Australia is an equal opportunity employer.  We are committed to creating a diverse and inclusive workplace and encourage applications from experienced candidates seeking workplace flexibility.
 
 
", this company,12 Mar 2019,Attractive salary  plus benefits,Full Time,Banking & Financial Services,Banking & Financial Services,Sydney,Sydney,https://www.seek.com.au/job/38555475?type=standout&searchrequesttoken=fde45437-d49c-49b0-995f-7b2f47b52e95,Data-Analyst
132,Cloud Engineer - Big Data,, this company,5 Mar 2019,,Full Time,Information & Communication Technology,Information & Communication Technology,Sydney,Sydney,https://www.seek.com.au/job/38500269?type=promoted&searchrequesttoken=fb467302-8c95-4a43-bf48-2fd66db71403,Data-Engineer
133,Data Engineer,"

Canberra location
Total Remuneration package $138,276 - $163,138
3 years Maximum-Term, Full-time
Open to Permanent Residents and Australian Citizens

About Us
Icon Water is responsible for owning and operating Canberra’s network of water and wastewater infrastructure and assets including dams, reservoirs, water and sewerage treatment plants, water and sewerage pumping stations to ensure the delivery
          of safe drinking water and reliable sewerage services. Icon Water has been part of the Canberra community for 100 years.
We are an Equal Opportunity Employer which values diversity and inclusion. We encourage applicants from all backgrounds, including Aboriginal and Torres Strait Islanders, people with disabilities, people from culturally diverse backgrounds and
          all ages. We also have a strong focus on gender balance within the organisation and encourage women to apply.
The Opportunity
Our Digital Technology team is looking for an experienced Data Engineer to design, implement and manage databases, data models and datasets within the organisation.
A day in the life:

Establishing and maintaining dataset repository across the organisation
Development of code for data extraction, transformation and processing
Creating dashboards, visualisations and reports in Python and AWS.

We'll need you to have:

Degree in Computer Science
Good knowledge of SQL language and Python
Demonstrable experience in data modelling, data extraction, data mapping and data processing
Demonstrated experience in effectively using various databases, both SQL and NoSQL
Solid AWS experience with AWS certification being desirable.

About the team
We are a collaborative team that enjoys bringing out the best in each other. We are open to new ideas and not afraid to try out new approaches and technology. We are open to working flexibly with you, so talk to us and ask how this role can be
          made flexible for you.
About you

You are collaborative: you build and champion positive relationships and enjoy providing support to our business
You are respectful, value diversity and respect the time of others
You are open to learning new things and trying out different approaches.

About our application process
Please apply through our Recruitment portal by submitting a resume and a cover letter clearly outlining the key skills, knowledge and experience you can bring to the role.
If you wish to learn more about the role, please connect with Ali Salehi, Enterprise Architect on 0421 600 333.
Applications will close on 31 March 2019.
Thinking about moving to Canberra?
Canberra is the capital of the ACT. It has a population of 400,000 and is a modern city with a cosmopolitan feel. It offers all the city services and lifestyle amenities of a world-class capital, as well as being settled beside the alpine mountains
          and southeast coast which makes it an exceptional location for adventure.
Canberra boasts a great food and wine culture and is very family-friendly with progressive education, health care, clean environment, and is home to some of Australia’s best roads and bike paths. It’s a safe, relaxed place to live.
", this company,19 Feb 2019,"$138,276 - $163,138",Full Time,Information & Communication Technology,Information & Communication Technology,ACT,ACT,https://www.seek.com.au/job/38380879?type=promoted&searchrequesttoken=fb467302-8c95-4a43-bf48-2fd66db71403,Data-Engineer
134,Junior Data Engineer,"Junior Data Engineer  We have a great opportunity for an engineer who is passionate about Software Engineering and Technology. This career opportunity is multi-faceted, working with some great clients in areas including; data
          transformation, specialized data tools, ETL and data migration  We are also looking for someone who can show true value through ideas, intuition, hard work and determination!    This is an ideal opportunity to kick-start
          your career joining a successful boutique professional services company in Sydney CBD. This opportunity will not only give you a solid basis to build upon your existing software engineering knowledge and skills working in a fast-paced and innovative
          Professional Services Team, but the chance to work with a range of IT organisations in various industry sectors. We take pride in developing your career and also invest heavily in our technical competencies with recent focus on data transformations
          and migration, cloud solutions and the development of automated bespoke solutions. You will receive ongoing training with the latest and greatest technologies.    Mandatory Skills    

Good communicator and willing to go above & beyond for clients
Strong PHP and/or Python scripting skills for ETL skills transformation
Understanding various file formats such as; CSV, XML, JSON or YAML
Strong SQL skills along with general database knowledge
Experience working with source control tooling. i.e. SVN, GIT etc
Ability to demonstrate prior projects delivered and provide achievements
Rest API development experience/understanding
Bachelor’s degree in Computer Science
    Desirable Skills    

Interested in building tools/solutions and passionate about IT.
Willingness to express themselves in a dynamic team environment.
Familiar with tools such as Jira and Confluence
Understanding various file format encoding such as EBCDIC, ASCII, UTF8
JavaScript experience
Data Mining skills

", this company,11 Mar 2019,,Full Time,Information & Communication Technology,Information & Communication Technology,Sydney,Sydney,https://www.seek.com.au/job/38543523?type=standard&searchrequesttoken=fb467302-8c95-4a43-bf48-2fd66db71403,Data-Engineer
135,Senior Data Engineer,"
 

Exciting opportunity to drive innovation and collaboration across our business
Impact the way our gas assets are managed and optimised
Deliver best of breed data and analytical capabilities
Permanent, Brisbane
Application close date: 24th March 2019

 Origin - Australia's Leading Integrated Energy Company  An integral part of Australia’s energy future, we explore, produce, generate and sell energy to power millions of Australian homes and businesses every day,
          keeping them going and growing.  Origin offers exciting and rewarding career opportunities - from project management and leadership, to technical and engineering. Working for Origin can take you all over Australia - in the field, as
          well as in the office - or around the world. With global energy demand growing, Origin is looking for new ways to meet that need and create tomorrow’s energy solutions. It’s an exciting time to be a part of Origin.
The Role  Origin is passionate about using Digital technologies to make good energy. Our Integrated Gas business has an exciting Digital program that is leveraging leading edge AI, IOT and cloud technologies to make a
          big difference. This is a great opportunity to join the IG Digital team based in Brisbane.  The role of Senior Data Engineer is responsible for delivering new products, capabilities, and practices using cloud data and advanced analytics
          services. Working in an agile team as a key developer, you will be involved in the end-to-end implementation of quality, scalable, and highly supportable solutions. You know what ‘great’ looks like and you are focused on delivering value for
          your stakeholders.  Working closely with leadership teams, data scientists and software engineers this is a great opportunity to impact the way our gas assets are managed and optimised. As part of the Digital Team, you will:

Participate in all aspects of the data solution delivery life cycle including analysis, estimation, design, development, testing, production deployment, and support. Build self-monitoring, robust, scalable interfaces and data pipelines
Develop standardised practices for delivering new products and capabilities using cloud data technologies, including data acquisition, transformation, and analysis
Ensure data practices integrate into overall data architectures and data management principles (e.g. data governance, data security, metadata, data quality). Create highly reusable code modules and packages that can be leveraged across the
              data pipeline
Contribute to our data dictionary for published data sources
Create and manage data sources and integrate with diverse APIs. Build efficient storage for structured and unstructured data. Develop and tune processes to ensure optimal performance and reliability whilst maintaining data integrity

          The suitable candidate will collaborate with others to create solutions that meet business and end user needs, bring and a commercial lens and customer focus to deliver value for end users and passion, motivation and a drive to achieve excellence.


 Is This You?

Tertiary qualifications in Information Management, Computer Science, or a related discipline
Extensive experience working in data analytics roles
Understanding of agile principles and practices
A proven track record of architecting, designing and implementing data pipelines and related operations, with a strong background designing and building distributed cloud-based data-driven applications
Development experience in languages such as Java, Scala and Python
Proficient in designing efficient and robust ETL workflows
Strong understanding of AWS Kenisis, Apache Spark and ML technologies.
SQL and/or NoSQL database experience (MySQL, MongoDB, Cassandra, DynamoDB)
Strong understanding of distributed systems concepts (CAP, Fallacies of Distributed Computing, etc)
Strong CS fundamentals in object-oriented design, data structures, algorithm design and complexity analysis
Strong understanding of event sourcing / CQRS / Microservice patterns
Containerisation and serverless infrastructures (Docker, Lambda, ECS, Kubernetes, DC/OS)
Strong belief in (TDD) unit testing, performance, load, or end-to-end integration tests
Strong understanding of SOLID object-oriented design patterns
Experience using CI/CD tools and platforms (Terraform, Codeship, CloudFormation, Fabric)
Extensive experience in troubleshooting and solving complex technical problems on large datasets


We embrace the diversity of our people and flexible working arrangements to ensure our workforce is representative of the communities that we serve. Aboriginal and Torres Strait Islander Peoples are encouraged to apply. 
 If dynamic and challenging career opportunities and workplace flexibility are important to you, go with the employer that thinks differently.  For more information contact: Iain Pratt on (03) 8665 7325  Requisition ID: 71194

", this company,8 Mar 2019,,Full Time,Information & Communication Technology,Information & Communication Technology,Brisbane,Brisbane,https://www.seek.com.au/job/38531646?type=standout&searchrequesttoken=fb467302-8c95-4a43-bf48-2fd66db71403,Data-Engineer
136,BIG DATA ENGINEER - Cloudera / Hortonworks / Spark / Scala ,"
AUSTRALIAN CITIZENS ONLY TO APPLY 
 
My Canberra based clients are looking for an experienced Big Data Architect or Lead Engineer who has a passion for Data with experience working in enterprise environments on large scale Big Data projectsYou
          will have development and architecture experience across a range of cutting-edge tools and technologies including Hadoop, Spark, Python, Scala, Cloudera and
          or Hortonworks, Kafka and many more.

Essential Skills:

AUSTRALIAN CITIZEN


5+ years designing and implementing analytical solutions based on big data platforms.
DevOps Management tools and processes - CI/CD, Ansible, Puppet, Chef etc
Essential experience with: Hadoop, Spark, Python, Scala, Cloudera and /or Hortonworks toolset, Kafka.
Strong technical knowledge of metadata, data integration and BI analytics tools.
Strong understanding and application of Data Quality/Governance initiatives.
Experience with Teradata / Netezza / Oracle Exadata Data warehouse platforms or equivalent.

 
Please apply directly via the Apply for this job button. Only suitable candidates matching client criteria will be contacted.
", this company,12 Mar 2019,Attractive daily rate,Contract/Temp,Information & Communication Technology,Information & Communication Technology,ACT,ACT,https://www.seek.com.au/job/38552462?type=standout&searchrequesttoken=fb467302-8c95-4a43-bf48-2fd66db71403,Data-Engineer
137,AWS Big Data Engineer,"
Do you believe you can do anything? Then we’re here to help you do it.   If you have a desire to succeed and drive your own career, Dimension Data offers you the opportunity to make that happen.   We’re positioned to
          lead the change in the biggest transformation that the IT industry has seen in decades — and we need your talent, skill, and ambitious ideas. As a Global Top Employer to over 31,000 great people in more than 57 countries, you’ll be working with
          talented teams across the world. You’ll be doing great things for our clients and helping them achieve their business ambitions.     We are seeking an AWS Big Data Engineer to augment our Transportation client’s
          project delivering a fully automated AWS based data lake. Joining us on an initial 3 month contract and based in Melbourne, CBD you’ll be an important piece of the team designing, consulting and implementing AWS Big
          Data Services.    This will include:

Provide high level technical subject matter expertise in the deployment of large scale data solutions, both on premise and cloud-based 
Create detailed target state architecture and blueprints for modern data technologies and cloud data services
Provide technical leadership and consulting for this large project
Build, test, and deploy solutions via AWS cloud data services

 We are looking for someone with:

Requirements of the Senior AWS Big Data Engineer:

AWS/Hadoop certifications preferred
3-4 years of experience applying ETL data warehousing best practices
At least 3 years of hands-on experience designing, building, and implementing in an AWS environment
1-2 years of experience building and executing large scale enterprise data solutions, data lakes, and applications with at least one AWS data and analytics services and third parties

EC2, EMR, S3, Kinesis, Dynamo DB, RedShift,  RDS, Lambda, Glue, Spark, Snowflake etc.
3rd party KMS, HSM with AWS data services for building secure data solutions
Hadoop stack (HDFS, PIG, Hive, Spark, Ambari, SQOOP, Map reduce, Tez, Ranger etc..)
Experience in Data Lake management tools Like Podium Data, Diyotta, Informatica BDE etc. is a plus

1-2 years of hands-on experience analyzing and re-architecting and moving on-premise data lake to data platforms on AWS cloud using AWS/third parties 
1-2 years of experience designing and building production data pipelines from ingestion to consumption within a hybrid big data architecture using Java, Python, C++, etc.
1-2 years of experience architecting and implementing next generation data and analytics platforms on AWS cloud 
Exposure to Logi, SAS, Tableau, R, or equivalent dashboard reporting tool a plus
Motivated self-starter with the ability to complete tasks under minimal supervision/assistance 


 We look for people with a client centric, consultative approach. We want team players. We care about our clients, our colleagues, and the environment and we want you to do the same.    In return for your skills and your commitment
          to our values, you will be exposed to industry leading technology, projects and expertise. You’ll have the support of specialist colleagues across Australia and the globe. And unique in the contracting market, you’ll be charged no payroll administration
          fees, and have access to discounted training and certifications via Dimension Data Learning Solutions.    Join our growing global team and accelerate your career with Dimension Data. Apply today!    Diversity in Dimension Data Dimension Data is an equal opportunity employer with a global culture that embraces diversity.  All qualified applicants will receive consideration for employment and will not be unfairly discriminated against on any arbitrary ground including race, colour, sex, religion, national origin, veteran status, disability, gender identity, sexual orientation, or other protected category.
 To be considered for the role click the 'Apply' button or for more information about this and other opportunities please contact Fabian Virgies on 1800 456 122. Please quote our job reference number: 381948. ", this company,13 Mar 2019,Up To $850+,Contract/Temp,Information & Communication Technology,Information & Communication Technology,Melbourne,Melbourne,https://www.seek.com.au/job/38559957?type=standard&searchrequesttoken=fb467302-8c95-4a43-bf48-2fd66db71403,Data-Engineer
138,Big Data Engineer,"
Data Engineer (Big Data) - Hedge-Fund - Melbourne- $600-$700  Our client, a Melbourne based hedge-fund specialising in the development of Big Data and AI algorithms are currently looking for a Data Engineer specialising
          in Hadoop to join a growing team to build bespoke trading systems for existing clients.  It is a fantastic opportunity for a candidate wanting to work in a flat hierarchical team structure where you will have the opportunity to liaise
          directly with the trading team and be able to input ideas with the potential for it to be implemented the very next day.  Candidates will need:  

Strong experience working with Big Data technologies
Strong commercial experience working on Hadoop
Confident with using Java
Good knowledge of GCP (Google Cloud Platform), however they will look at candidates with AWS who are willing to learn GCP.
Excellent communication skills and confident to input on technical ideas.
You will have a background in integrating, collecting and organising Data.

This is a fantastic opportunity to really make your mark in a fast growing company in an open and friendly environment  
To find out more about Progressive Recruitment please visit our website. 
 
Award Winner for:
Best Medium Recruitment Company of the Year by Recruitment International 2018
Training & Development Initiative of the Year by Recruitment International 2018
", this company,11 Mar 2019,$600 - $700 p.d. + competitive,Contract/Temp,Information & Communication Technology,Information & Communication Technology,Melbourne,Melbourne,https://www.seek.com.au/job/38545039?type=standard&searchrequesttoken=fb467302-8c95-4a43-bf48-2fd66db71403,Data-Engineer
139,Data Engineer,"
Big Data Engineer | Melbourne | 3-month Contract Position
About the CompanyThe client is one of Australia's leading Melbourne-based organisations.About the RoleThe Data Engineer will be responsible designing and developing major components of big data
          stream and batch processing applications for a Finance function.Required Experience and Knowledge:

Strong Python, Scala or Java as well as SQL skills
Big Data Skills - Spark, EMR, Hadoop
Good understanding of data storage formats and compression (json, parquet, csv, avro, gzip, snappy etc)
Good understanding of AWS Services (S3, EC2, RedShift, EMR, Postgres)

How to ApplyClick APPLY or contact Zale Stobbs, Big Data, BI & Data Analytics Consultant on (03) 9982 8489 for a confidential discussion.
", this company,13 Mar 2019,Competitive,Contract/Temp,Information & Communication Technology,Information & Communication Technology,Melbourne,Melbourne,https://www.seek.com.au/job/38559437?type=standard&searchrequesttoken=fb467302-8c95-4a43-bf48-2fd66db71403,Data-Engineer
140,Big Data Engineer,"
About the Team
Our Insight and Data team helps our clients make better business decisions by transforming an ocean of data into streams of insight. Our clients are among Australia's top performing companies and they choose to partner with Capgemini for a very
          good reason - our exceptional people.
About the role
The Big Data Engineer will expand and optimise our clients' data and data pipeline architecture, as well as optimise their data flow and collection for cross functional teams. Your responsibilities include:

Build robust, efficient and reliable data pipelines consisting of diverse data sources to ingest and process data into AWS based data lake platform
Design and develop real time streaming and batch processing pipeline solutions
Assemble large, complex data sets that meet functional / non-functional business requirements.
Design, develop and implement data pipelines for data migration & collection, data analytics and other data movement solutions.
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Build DevOps pipeline
Work with data and analytics experts to strive for greater functionality in our data systems

About you
You will have the ability to optimise data systems and build them from the ground up. You will support software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture
          is consistent throughout ongoing projects.
Essential skills and experience

Strong experience on Big data / Hadoop Technology stack in Hadoop, Hive, Scala, MongoDB, HBase, Cassandra, Python
3+ Years experience with Big data stream processing frameworks such as Kafka Streaming, KSQL, Spark streaming, Storm, Flume etc.
Proficiency in one or more general purpose programming languages J2EE, Scala or Python
4+ Years Experience with the following technologies: Java, Spring Framework, JMS, REST APIs, Kafka, Spring Boot, NoSQL, AWS.
Experience building JAVA RESTful API's.
Familiarity with modern design patterns/microservices.
Strong proficiency with DBMS (Oracle/MS SQL).
Experience working with AWS services such as SNS, SQS, API Gateway, Lambda, S3.
Create/configure jobs for Control M or similar enterprise scheduling tools.
Some experience with ETL tools such as Informatica/Talend advantageous.

What we can offer you?
Capgemini is a world leader in technology enabled change. We can offer our consultants;

Formal training with industry recognized certifications
The ability to interact with peers in a sharing and inclusive community
Exciting and challenging projects
A well-structured and tailored career framework
A culture of collaboration and recognition
Excellent remuneration

About Capgemini
Capgemini is one of the world's foremost providers of consulting, technology, outsourcing services and local professional services. Present in over 40 countries with more than 180,000 people, the Capgemini Group helps its clients transform in
          order to improve their performance and competitive positioning.
Ranked among Ethisphere's 2018 Most Ethical Companies in the Word. Our seven values are at the heart of everything we do - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty.
If you believe you have ""La Niaque"" to go the extra mile, then apply by submitting your resume and cover letter.
Want to know more? To learn more about Capgemini and find out about what makes our people unique, log ontowww.capgemini.com.au
Proof of work entitlements and visa status will be required prior or at offer time. Successful applicants will be required to complete a Criminal Record and Reference checks prior to commencement of employment.
 
 
 
 
 
 
", this company,6 Mar 2019,Highly competitive ,Full Time,Information & Communication Technology,Information & Communication Technology,Melbourne,Melbourne,https://www.seek.com.au/job/38503754?type=standout&searchrequesttoken=fb467302-8c95-4a43-bf48-2fd66db71403,Data-Engineer
141,Data Migration Engineer,, this company,11 Mar 2019,,Contract/Temp,Information & Communication Technology,Information & Communication Technology,Sydney,Sydney,https://www.seek.com.au/job/38544558?type=standard&searchrequesttoken=fb467302-8c95-4a43-bf48-2fd66db71403,Data-Engineer
142,Data Engineer,, this company,5 Mar 2019,,Full Time,Information & Communication Technology,Information & Communication Technology,Sydney,Sydney,https://www.seek.com.au/job/38501765?type=standout&searchrequesttoken=fb467302-8c95-4a43-bf48-2fd66db71403,Data-Engineer
143,Junior Big Data Engineer,"
The role:
As a Data Engineer, you are responsible for architecting, developing, scaling and maintaining data pipelines and analytics infrastructure, covering a wide range of technologies, with a specific focus on high availability, scalability and security
          of customer data.
This position also consists of architecting, building, and launching new data models, systems and tools to enable the team to understand and consume data faster
The role is for highly technical software engineers with a deep expertise in large-scale and data-intensive cloud-based systems.
You will also have the capability to architect highly scalable distributed systems, using open source tools
You:
A talented Data Engineer keen to build innovative solutions
Extensive coding and programming in a range of languages such as Hadoop, Python, Scala, Java, R, etc.
Experience of AWS including Redshift, ECS, Spark, EC2 etc.
Understanding of PaaS, IaaS and/or Serverless services
Solid experience structured and unstructured big data systems
", this company,1 Mar 2019,$85k - $105k p.a.,Full Time,Information & Communication Technology,Information & Communication Technology,Sydney,Sydney,https://www.seek.com.au/job/38474935?type=standout&searchrequesttoken=fb467302-8c95-4a43-bf48-2fd66db71403,Data-Engineer
144,Data Engineer,"Our client is looking for a Data Engineer to join a large tier one Telecommunications Organisation on an initial 3 month contract with likely extensions that will carry out a two year program. The ideal candidate will have the following;

 Strong experience with Big Data/Hadoop Technology stack
 Developing skills in Java, Scala or Python
 Experience to use Spark for advanced analytics
 Experience in Data processing/engineering field
 Working knowledge of Graph Database including visualising use case output.
Experience working with cloud infrastructure (AWS, Azure or Google) 
Important things to note:

The client is an Australian Government Department, Australian Citizenship is a must to obtain a Security Clearance.
Must be flexible to travel to Canbera 25% of the time. 
If this sounds like you, Apply now or give Melissa a call on (03) 9236 7732.  ", this company,12 Mar 2019,$750 - $850 per day,Contract/Temp,Information & Communication Technology,Information & Communication Technology,Melbourne,Melbourne,https://www.seek.com.au/job/38553964?type=standout&searchrequesttoken=fb467302-8c95-4a43-bf48-2fd66db71403,Data-Engineer
