,id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan,Unnamed: 0,Beds,Baths,Car,Lot,Valuation,SateType1,SaleType2,DateSold1,DateSold2,SoldPrice1,SoldPrice2,Picture,Blob,Street_Numb,Street_Name,Street_Suff
44,1551564,442513,17 Marcia Street,Toongabbie,2146,NSW,-33.785068,150.947179,house,1011,1,1,1,TRUE,44,3,1,1,1011,"$733,667", , , , , , ,https://p360images.realestateview.com.au/default/17-marcia-street-toongabbie-nsw-2146-xl,"This is a house in Toongabbie, 2146 with 3 bedrooms and 1 bathroom. This property is on a 1011 sqm block of land. ",17,Marcia,Street
45,486464,446506,2 Lennox Street,Old Toongabbie,2146,NSW,-33.796667,150.964308,house,733,2,2,1,TRUE,45,4,2,1,0,"$815,333", ,Private Sale            , ,Jul-18, ,"$1,000,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/J8mOYZTWd9Q9RH93ZHkV3A7_hq_ct51cHcjHvjtpKWo1/2-lennox-street-old-toongabbie-nsw-2146_img0.jpg,"2 Lennox Street, Old Toongabbie 2146 NSW is a house with 4 bedrooms and 2 bathrooms. It has weatherboard walls. Its block size is 733 sqm. In May 2016 this address sold for $970,000. ",2,Lennox,Street
53,464282,528541,5 Hillside Road,Blacktown,2148,NSW,-33.778624,150.894018,house,556,1,1,1,TRUE,53,3,1,1,562,"$591,000",Private Sale            , ,Feb-94, ,"$124,950", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/ttosTywESmRJvp_b32g3QQzzwnR6PaEquIGaI_Jkc5Q1/5-hillside-road-blacktown-nsw-2148_img0.jpg,"This is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. This is on a 562 square metre block of land. Last time it sold was for $124,950, which was in February 1994. ",5,Hillside,Road
57,4108692,562636,5 Maureen Place,Blacktown,2148,NSW,-33.776108,150.89397,house,632,2,2,1,TRUE,57,4,2,1,626,"$730,600",Private Sale            , ,Sep-91, ,"$119,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/QVcSvRR_h_n7WUW_wvH_MbBwMEIL9ejNCVqae8fw8B81/5-maureen-place-blacktown-nsw-2148_img0.jpg,"5 Maureen Place, Blacktown 2148 NSW is a house. It has 4 bedrooms and 2 bathrooms. Its block size is 626 square metres. Last time it sold, it went for $119,000, which was in 1991. ",5,Maureen,Place
63,3518536,605718,90 Bungaree Rd,Toongabbie,2146,NSW,-33.794064,150.95909,house,928,6,6,4,FALSE,63,10,6,4,935,"$1,036,667", ,Private Sale            , ,Aug-15, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/jv0RrgS4JGQ64tYslMeikRsKaVH4pkPvEGnBTDB1l3w1/90-bungaree-road-toongabbie-nsw-2146_img0.jpg,"This is a house in Toongabbie with 3 bedrooms and 1 bathroom. Its postcode is 2146. The block size is 935 square metres. When it last sold in 2015, it went for $956,000. ",90,Bungaree,Road
65,1970916,630769,1 Charles Street,Blacktown,2148,NSW,-33.753324,150.917515,house,544,1,1,1,TRUE,65,0,0,0,0,"$635,000", , , , , , ,https://p360images.realestateview.com.au/default/1-charles-street-blacktown-nsw-2148-xl,1 Charles Street is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. It is on a block of land that is 558 sqm. ,1,Charles,Street
68,2636905,675031,7 Oulton Street,Prospect,2148,NSW,-33.793224,150.90953,house,,3,3,3,FALSE,68,5,3,3,595,"$1,087,650", ,Private Sale            , ,Mar-06, ,"$395,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/4ZvlddXuMi0kLnFfXLXq_MxCEJ4I06MXGfutJiUfV-M1/7-oulton-street-prospect-nsw-2148_img0.jpg,"This is a house in Prospect, 2148 with 5 bedrooms and 3 bathrooms. The block size is 596 sqm. Our records show that this was last sold in 2006 for $395,000. ",7,Oulton,Street
77,3977973,827800,41 Shannon Street,Lalor Park,2147,NSW,-33.756065,150.93623,house,556,1,1,2,TRUE,77,3,1,2,565,"$645,000",Private Sale            ,Private Sale            ,Oct-13,Apr-04,"$571,000","$363,000",https://p360images.realestateview.com.au/default/41-shannon-street-lalor-park-nsw-2147-xl,"41 Shannon Street is a house in Lalor Park with 3 bedrooms and 1 bathroom. Its postcode is 2147. This is on a 565 sqm block of land. According to our data, this was last sold for $571,000 in October 2013. ",41,Shannon,Street
82,68324,885813,29 Highlands Crescent,Blacktown,2148,NSW,-33.774377,150.892885,house,556,1,1,2,TRUE,82,3,1,2,556,"$603,333", ,Private Sale            , ,Jun-18, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/0c8hTPFXl3UCpXJGX-BPvtS6xHPRkhcU802i0Rt3MJo1/29-highlands-crescent-blacktown-nsw-2148_img0.jpg,"29 Highlands Crescent is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. Its block size is 556 sqm. In June 2018 this address sold for $635,000. ",29,Highlands,Crescent
84,124439,921855,33 Terrigal Street,Marayong,2148,NSW,-33.748276,150.886273,house,558,1,1,2,TRUE,84,5,1,2,558,"$793,333",Private Sale            ,Private Sale            ,Dec-07,Dec-99,"$352,500","$200,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/rDdaA6iGf3SUuCKI0Q3bYyyqlJBSB8mEL7b9DWQ5Qu01/33-terrigal-street-marayong-nsw-2148_img0.jpg,"33 Terrigal Street, Marayong 2148 NSW is a house. It has 5 bedrooms and 1 bathroom. The size of this block is 558 sqm. Last time it sold was for $352,500, which was in 2007. ",33,Terrigal,Street
87,68400,955444,66 Kildare Road,Blacktown,2148,NSW,-33.769135,150.90114,house,1442,2,2,1,FALSE,87,3,2,1,1450,"$729,333", ,Private Sale            , ,Mar-16, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/6P9wXnGUomD0XImf8L80s3x7AXbipWj1-_k9VPr-vDY1/66-kildare-road-blacktown-nsw-2148_img0.jpg,"66 Kildare Road, Blacktown 2148 NSW is a house. This property has 3 bedrooms and 2 bathrooms. The block size is 1450 sqm. In March 2016 it sold for $3,460,000. ",66,Kildare,Road
89,1356746,974341,113 Northcott Road,Lalor Park,2147,NSW,-33.759141,150.926082,house,632,2,2,3,TRUE,89,4,2,3,641,"$788,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/xiKVLulRMFdSjqWc1r4DqXJEt4NOwZOLh9NTSeqI-Ao1/113-northcott-road-lalor-park-nsw-2147_img0.jpg,"113 Northcott Road, Lalor Park 2147 NSW is a house. This property has 4 bedrooms and 2 bathrooms. The land area of this property is 641 square metres. ",113,Northcott,Road
95,2484644,1022577,10 Grandview Avenue,Seven Hills,2147,NSW,-33.793018,150.930884,house,727,2,2,2,TRUE,95,4,2,2,730,"$901,667",Private Sale            , ,Feb-06, ,"$675,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/SVoCgMCYPgnsSmgXJp-YX9BtbeMOjiYomyrfNgQnqj41/10-grandview-avenue-seven-hills-nsw-2147_img0.jpg,"This is a house in Seven Hills, 2147 with 4 bedrooms and 2 bathrooms. The block size of this property is 730 sqm. In February 2006 this sold for $675,000. ",10,Grandview,Avenue
102,4103176,1066752,7 Conway Place,Kings Langley,2147,NSW,-33.74949,150.93149,house,701,2,2,2,FALSE,102,4,2,2,715,"$948,333",Private Sale            ,Private Sale            ,Oct-09,Jul-07,"$549,950","$509,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/pu8G0hQMFFYinMyLBsM1pmVqSHJE4qb4LcdrldEm7ZU1/7-conway-place-kings-langley-nsw-2147_img0.jpg,"7 Conway Place, Kings Langley 2147 NSW is a house with 4 bedrooms and 2 bathrooms. This property is on a 715 square metre block of land. According to our data, this was last sold for $549,950 in October 2009. ",7,Conway,Place
107,4075574,1112348,10 Hayes Ave,Northmead,2152,NSW,-33.7936,150.989479,house,,1,1,1,TRUE,107,2,1,1,562,"$681,667",Private Sale            ,Private Sale            ,Jul-96,Feb-94,"$170,000","$80,000",https://p360images.realestateview.com.au/default/10-hayes-avenue-northmead-nsw-2152-xl,"This is a house in Northmead with 2 bedrooms and 1 bathroom. Its postcode is 2152. The block size is 562 sqm. It was last sold in 1996 for $170,000. ",10,Hayes,Avenue
117,2016448,1176462,4 King Place,Kings Langley,2147,NSW,-33.741333,150.92445,house,703,2,2,0,TRUE,117,0,0,0,0,"$681,667", , , , , , ,https://p360images.realestateview.com.au/default/4-king-place-kings-langley-nsw-2147-xl,The block size of this property is 703 square metres. ,4,King,Place
120,562786,1184542,39 Orana Avenue,Seven Hills,2147,NSW,-33.77849,150.923951,house,651,2,2,1,TRUE,120,4,2,1,671,"$733,267", ,Private Sale            , ,Nov-98, ,"$193,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/2hrUDT5Do9J42j-LtBO7Af8xp6ZMC1Yu60M_ZboIjPU1/39-orana-avenue-seven-hills-nsw-2147_img0.jpg,"39 Orana Avenue is a house in Seven Hills with 4 bedrooms and 2 bathrooms. Its postcode is 2147. The block size of this property is 671 sqm. This house previously sold for $193,000 in November 1998. ",39,Orana,Avenue
127,37155,1210488,19 Ellis Place,Kings Langley,2147,NSW,-33.749499,150.942832,house,,2,2,3,TRUE,127,4,2,3,756,"$944,167",Private Sale            ,Private Sale            ,May-18,May-01,"$286,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/0mO4i6zJdx7rWLnkeG1NAkuSV7Pt-bFzFHG_FWUjiXE1/19-ellis-place-kings-langley-nsw-2147_img0.jpg,"19 Ellis Place, Kings Langley 2147 NSW is a house. It has 4 bedrooms and 2 bathrooms. This is on a 756 sqm block of land. In May 2001 this home sold for $286,000. ",19,Ellis,Place
129,4119991,1223563,96 Columbia Road,Seven Hills,2147,NSW,-33.78768,150.92328,house,556,2,2,3,TRUE,129,3,2,2,0,"$720,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/B_HZMIqvVPWcdH9uHJncd6QVueJDWrHb0LXQXuYbGDA1/96-columbia-road-seven-hills-nsw-2147_img0.jpg,"96 Columbia Road, Seven Hills 2147 NSW is a house with 3 bedrooms and 2 bathrooms. Its land area is 532 sqm. This house last sold for $745,000 in April 2017. ",96,Columbia,Road
132,1828727,1242582,3 Alam Street,Blacktown,2148,NSW,-33.76092,150.89607,house,,3,3,1,TRUE,132,3,3,1,559,"$676,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/WxlwUMfy-_HexvdlvIML1LSsLBoYwvw_Y9oAKMeMe2I1/3-alam-street-blacktown-nsw-2148_img0.jpg,"This is a house in Blacktown, 2148 with 3 bedrooms and 3 bathrooms. The block size is 559 sqm. 3 Alam Street last sold for $667,000 in 2015. ",3,Alam,Street
133,1613219,1246110,21 Willmot Avenue,Toongabbie,2146,NSW,-33.786943,150.960291,house,594,2,2,2,TRUE,133,3,2,2,607,"$774,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/bhMDerl-N52bgfzRazuNtrULv8w-mtlYEMohngw6Rk01/21-willmot-avenue-toongabbie-nsw-2146_img0.jpg,"21 Willmot Avenue, Toongabbie 2146 NSW is a house. This property has 3 bedrooms and 2 bathrooms. The block size is 607 square metres. According to our data, this last sold for $346,000 in April 2006. ",21,Willmot,Avenue
134,3509989,1255164,14 Simpson Place,Kings Langley,2147,NSW,-33.744867,150.925982,house,,2,2,2,FALSE,134,4,2,2,737,"$925,000", ,Private Sale            , ,Sep-07, ,"$519,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/kxrTwf1gGwyOBBkTXGePP61PzoxeyfUBeU4x6CrLY-w1/14-simpson-place-kings-langley-nsw-2147_img0.jpg,"14 Simpson Place, Kings Langley 2147 NSW is a house with 4 bedrooms and 2 bathrooms. The land area of this property is 737 sqm. It last sold for $519,000 in September 2007. ",14,Simpson,Place
143,2872414,1353201,22 Merlin Street,Blacktown,2148,NSW,-33.787216,150.907245,house,581,1,1,2,TRUE,143,3,1,2,596,"$582,167",Private Sale            , ,Mar-04, ,"$358,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/WpuyXOH2rgoqxUTU8mFi7RYoaEW4Esz0SS8iW4UEj141/22-merlin-street-blacktown-nsw-2148_img0.jpg,"This is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. It is on a block of land that is 596 sqm. In March 2004 this address sold for $358,000. ",22,Merlin,Street
144,4088407,1356947,10 Fursorb Street,Marayong,2148,NSW,-33.750874,150.895034,house,556,2,2,3,TRUE,144,4,2,3,548,"$718,109",Private Sale            , ,Jun-18, , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/TIQvjQv2Y-8iA42cvf59Vc1sBsju5iVziC9cULXDreo1/10-fursorb-street-marayong-nsw-2148_img0.jpg,"This is a house in Marayong, 2148 with 4 bedrooms and 2 bathrooms. This property is on a 548 square metre block of land. It last sold for $705,000 in June 2018. ",10,Fursorb,Street
145,4105549,1361744,5 Hudson Street,Seven Hills,2147,NSW,-33.78511,150.93874,house,555,2,2,2,TRUE,145,4,2,2,555,"$812,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/w0sBOqwb5lPvT6MGMmV-o54t65GNXR4_L6uR2bHQwyE1/5-hudson-street-seven-hills-nsw-2147_img0.jpg,"5 Hudson Street, Seven Hills 2147 NSW is a house. This property has 4 bedrooms and 2 bathrooms. The land area of this property is 555 square metres. ",5,Hudson,Street
147,1850470,1365434,63 Nairana Drive,Marayong,2148,NSW,-33.743826,150.893941,house,,3,3,2,TRUE,147,5,3,2,557,"$907,500",Private Sale            ,Private Sale            ,Jul-99,Feb-95,"$175,000","$127,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/NNYFeec095c_U1hgDvv4lExraYFOGkSdp3ok-53lNeY1/63-nairana-drive-marayong-nsw-2148_img0.jpg,"This is a house in Marayong with 5 bedrooms and 3 bathrooms. Its postcode is 2148. The block size is 557 sqm. The last sold price we have on record for this address is $175,000 which is from July 1999. ",63,Nairana,Drive
149,4159020,1389242,7 Marcus Street,Kings Park,2148,NSW,-33.739098,150.90376,house,576,2,2,1,TRUE,149,3,2,1,555,"$733,167",Private Sale            , ,Jul-03, ,"$340,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/PyVZbr6_-YOM5anFutPweMoTCediyuYq_p4ZkttARKY1/7-marcus-street-kings-park-nsw-2148_img0.jpg,"7 Marcus Street, Kings Park 2148 NSW is a house. This property has 3 bedrooms and 2 bathrooms. This is on a 582 sqm block of land. Last time it sold, it went for $340,000, which was in July 2003. ",7,Marcus,Street
152,128449,1412345,120 Fitzwilliam Road,Toongabbie,2146,NSW,-33.785303,150.96029,house,556,1,1,2,TRUE,152,4,1,2,556,"$748,333",Private Sale            , ,Sep-85, ,"$88,500", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/WgHZZfF_HGzihOQx64Vb9qPTEQ4VpJRJQ5ScPZ_AfQ41/120-fitzwilliam-road-toongabbie-nsw-2146_img0.jpg,"120 Fitzwilliam Road, Toongabbie 2146 NSW is a house with brick veneer walls. This property has 4 bedrooms and 1 bathroom. This is on a 556 sqm block of land. In September 1985 this property sold for $88,500. ",120,Fitzwilliam,Road
154,4149916,1433061,128 Madagascar Drive,Kings Park,2148,NSW,-33.73762,150.90755,house,557,1,1,1,FALSE,154,3,1,1,548,"$686,667", , , , , , ,https://p360images.realestateview.com.au/default/128-madagascar-drive-kings-park-nsw-2148-xl,"128 Madagascar Drive, Kings Park 2148 NSW is a house with 3 bedrooms and 1 bathroom. The block size of this property is 557 square metres. This house last sold for $601,000 in November 2014. ",128,Madagascar,Drive
155,128455,1447041,8 Vianney Crescent,Toongabbie,2146,NSW,-33.783601,150.956886,house,591,1,1,2,TRUE,155,4,1,2,591,"$758,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/VM6W43_aML9GxsjUMMBFXnEHzhl0I-ygPjy8FO6vQgE1/8-vianney-crescent-toongabbie-nsw-2146_img0.jpg,"This is a house in Toongabbie, 2146 with 4 bedrooms and 1 bathroom. Its land area is 591 sqm. ",8,Vianney,Crescent
157,3465530,1490333,40 Newton Road,Blacktown,2148,NSW,-33.773234,150.903091,house,730,1,1,2,FALSE,157,3,1,2,735,"$621,167", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/he0Bu_tnI8JGMVlZk3zs5fO0hH83rfDxBrWyV1hWA5w1/40-newton-road-blacktown-nsw-2148_img0.jpg,40 Newton Road is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. This property is on a 735 square metre block of land. ,40,Newton,Road
158,2126419,1496913,8 Andre Place,Blacktown,2148,NSW,-33.793938,150.90004,house,450,3,3,2,TRUE,158,0,0,0,450,"$701,667",Private Sale            , ,Apr-13, ,"$310,000", ,https://p360images.realestateview.com.au/default/8-andre-place-blacktown-nsw-2148-xl,"8 Andre Place, Blacktown 2148 NSW is a house. This property has 5 bedrooms and 3 bathrooms. The block size of this property is 450 sqm. When it last sold in April 2013, it went for $310,000. ",8,Andre,Place
159,2651318,1501117,75A Newton Rd,Blacktown,2148,NSW,-33.77625,150.90242,house,656,1,1,2,TRUE,159,4,1,2,652,"$741,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/vsCjSyHHfG4RghOjnv3sLbE9AqDSYcOXG7lWSuxUyFo1/75a-newton-road-blacktown-nsw-2148_img0.jpg,"75A Newton Road, Blacktown 2148 NSW is a house. This property has 4 bedrooms and 1 bathroom. This is on a 652 square metre block of land. According to our records, this was last sold for $427,000 in June 2010. ",75A,Newton,Road
160,123959,1511307,131 North Rocks Road,North Rocks,2151,NSW,-33.785754,151.008156,house,728,3,3,3,TRUE,160,4,3,3,715,"$1,117,500", ,Private Sale            , ,Feb-98, ,"$27,500",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/-L0mKBDs3IAdPsFvuKPqqgnIjYLgdfZINT9roNTC1PQ1/131-north-rocks-road-north-rocks-nsw-2151_img0.jpg,"This is a house in North Rocks with 4 bedrooms and 3 bathrooms. Its postcode is 2151. This is on a 715 sqm block of land. The last sold price we have on record for this property is $186,000 which is from May 1992. ",131,North Rocks,Road
161,3700575,1517187,140 Lucas Road,Seven Hills,2147,NSW,-33.76724,150.92223,house,626,2,2,3,TRUE,161,4,2,3,634,"$784,667", ,Private Sale            , ,Jun-13, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/k62IvHx6dPqARcggcWJ3z4ppwnzM16XeHt53qcYNkFs1/140-lucas-road-seven-hills-nsw-2147_img0.jpg,"This is a house in Seven Hills, 2147 with 3 bedrooms and 1 bathroom. This property is on a 634 square metre block of land. The last sold price we have on record for 140 Lucas Road is $420,000 which is from June 2013. ",140,Lucas,Road
164,37137,1526076,9 Capricorn Road,Kings Langley,2147,NSW,-33.75009,150.92698,house,,1,1,1,TRUE,164,3,1,1,344,"$665,000",Private Sale            , ,Oct-93, ,"$167,950", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/JGsbdzLiFBE-KzGFIb1hCHuZ9zboo86lzvxE43taOLI1/9-capricorn-road-kings-langley-nsw-2147_img0.jpg,"This is a house in Kings Langley with 3 bedrooms and 1 bathroom. Its postcode is 2147. The size of this block is 344 square metres. It last sold in 1993 for $167,950. ",9,Capricorn,Road
166,123957,1545554,11A Plymouth Avenue,North Rocks,2151,NSW,-33.777204,151.021143,house,696,2,2,2,TRUE,166,4,2,2,673,"$1,249,333", ,Private Sale            , ,Feb-09, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/ELkaRzecbS1PybaCZsEjHN6nNU4z9Jhoj84tva6cYjQ1/11a-plymouth-avenue-north-rocks-nsw-2151_img0.jpg,"11A Plymouth Avenue, North Rocks 2151 NSW is a house. This property has 4 bedrooms and 2 bathrooms. The size of this block is 673 sqm. It was last sold in 2009 for $530,000. ",11A,Plymouth,Avenue
167,1995971,1548209,5 Calaby Street,Toongabbie,2146,NSW,-33.789406,150.96375,house,,2,2,2,TRUE,167,4,2,2,0,"$901,667",Private Sale            , ,Jul-15, ,"$900,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Sh-oBMW6KoXV2ouYL28xTxrkMyqITJ_F7LbwYXChjmI1/5-calaby-street-toongabbie-nsw-2146_img0.jpg,"This is a unit in Toongabbie with 4 bedrooms and 2 bathrooms. Its postcode is 2146. According to our records, this last sold for $900,000 in July 2015. ",5,Calaby,Street
170,3085015,1568033,3 Walters Road,Blacktown,2148,NSW,-33.770546,150.89697,house,,1,1,3,TRUE,170,3,1,3,565,"$598,167",Auction            , ,Feb-89, ,"$207,000", ,https://p360images.realestateview.com.au/default/3-walters-road-blacktown-nsw-2148-xl,"This is a house in Blacktown, 2148 with 3 bedrooms and 1 bathroom. Its block size is 565 sqm. Last time it sold, it went for $207,000, which was in February 1989. ",3,Walters,Road
171,1828729,1569208,10 Sutton Street,Blacktown,2148,NSW,-33.780478,150.913015,house,566,1,1,1,TRUE,171,0,0,0,0,"$548,700", , , , , , ,https://p360images.realestateview.com.au/default/10-sutton-street-blacktown-nsw-2148-xl,This is a house in Blacktown with 4 bedrooms and 1 bathroom. Its postcode is 2148. The block size of this property is 566 sqm. ,10,Sutton,Street
172,123971,1586732,34 Iona Avenue,North Rocks,2151,NSW,-33.775681,151.017113,house,696,2,2,4,TRUE,172,3,2,4,665,"$1,066,667",Private Sale            , ,Feb-16, ,"$1,015,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/vDPEQdA0xUWT2yLTMXBBej6B2I8FXPxptOHvC_kwUJ81/34-iona-avenue-north-rocks-nsw-2151_img0.jpg,"34 Iona Avenue, North Rocks 2151 NSW is a house. It has 3 bedrooms and 2 bathrooms. This property is on a 665 sqm block of land. It was last sold in 2016 for $1,015,000. ",34,Iona,Avenue
